"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","2.5","33.6","0.2","0.0","4.5"
"","low","1.3","16.1","0.0","0.1","4.1"
"Mo Alie-Cox","IND","1.7","22.4","0.1","0.0","4.4"
"","high","2.5","35.4","0.2","0.0","4.8"
"","low","1.0","12.0","0.0","0.1","2.9"
"Richard Rodgers","PHI","1.7","22.1","0.1","0.0","4.3"
"","high","2.1","26.0","0.2","0.0","4.5"
"","low","1.4","18.5","0.0","0.0","4.2"
"Will Dissly","SEA","1.6","20.1","0.1","0.0","4.3"
"","high","2.7","34.3","0.2","0.0","5.5"
"","low","0.9","11.6","0.0","0.0","2.9"
"Luke Willson","BAL","1.9","17.4","0.1","0.0","4.2"
"","high","2.2","19.9","0.2","0.0","5.0"
"","low","1.6","13.6","0.0","0.0","3.8"
"Cole Kmet","CHI","1.7","18.9","0.1","0.0","4.2"
"","high","2.3","25.5","0.2","0.0","5.4"
"","low","1.0","10.0","0.1","0.0","3.2"
"Chris Herndon IV","NYJ","1.8","19.8","0.1","0.1","4.2"
"","high","3.0","34.0","0.2","0.0","5.1"
"","low","1.0","13.5","0.0","0.2","3.3"
"Dan Arnold","ARI","1.6","19.4","0.1","0.0","4.1"
"","high","1.8","23.3","0.1","0.0","4.4"
"","low","1.0","15.0","0.0","0.0","3.1"
"David Njoku","CLE","1.6","17.9","0.1","0.0","4.0"
"","high","2.1","23.9","0.2","0.0","5.1"
"","low","0.7","8.4","0.0","0.0","3.0"
"Jack Doyle","IND","1.6","16.6","0.1","0.0","3.8"
"","high","2.8","26.7","0.3","0.0","5.6"
"","low","1.0","10.2","0.0","0.1","2.9"
"Ross Dwelley","SF","1.6","16.5","0.1","0.0","3.7"
"","high","2.8","25.2","0.1","0.0","3.8"
"","low","1.1","12.8","0.0","0.0","3.4"
"Durham Smythe","MIA","1.5","14.4","0.1","0.0","3.6"
"","high","2.8","24.1","0.3","0.0","4.9"
"","low","0.9","8.7","0.0","0.0","2.9"
"James O'Shaughnessy","JAC","1.6","15.2","0.1","0.0","3.5"
"","high","2.6","24.6","0.1","0.0","3.7"
"","low","0.8","7.3","0.0","0.0","2.6"
"Ryan Izzo","NE","1.3","17.1","0.1","0.0","3.4"
"","high","1.5","22.4","0.2","0.0","3.9"
"","low","1.0","12.5","0.0","0.1","2.9"
"Vance McDonald","PIT","1.5","14.8","0.1","0.0","3.3"
"","high","1.8","15.6","0.1","0.0","3.7"
"","low","1.3","14.1","0.0","0.0","3.7"
"Jesse James","DET","1.4","14.6","0.1","0.0","3.2"
"","high","2.3","23.2","0.1","0.0","3.7"
"","low","0.9","9.1","0.0","0.0","2.7"
"Kaden Smith","NYG","1.6","13.3","0.1","0.0","3.2"
"","high","2.0","15.9","0.1","0.0","3.3"
"","low","1.3","11.0","0.0","0.0","3.2"
"Foster Moreau","LV","1.2","13.3","0.1","0.0","3.1"
"","high","1.5","14.6","0.2","0.0","3.6"
"","low","0.9","12.0","0.0","0.0","3.6"
"Adam Shaheen","MIA","1.1","11.1","0.2","0.0","3.1"
"","high","1.8","17.3","0.3","0.0","3.8"
"","low","0.7","6.9","0.1","0.0","2.3"
"Kahale Warring","HOU","1.3","13.8","0.1","0.0","3.1"
"","high","1.6","17.7","0.1","0.0","3.4"
"","low","0.9","10.1","0.0","0.0","2.9"
"Geoff Swaim","TEN","1.4","12.4","0.1","0.0","3.1"
"","high","2.7","22.6","0.1","0.0","3.3"
"","low","0.6","5.4","0.0","0.0","2.5"
"MyCole Pruitt","TEN","1.0","8.5","0.2","0.0","3.1"
"","high","1.0","8.5","0.2","0.0","3.1"
"","low","1.0","8.5","0.2","0.0","3.1"
"Tyler Kroft","BUF","1.2","12.2","0.1","0.0","3.0"
"","high","1.8","17.8","0.2","0.0","3.6"
"","low","0.7","7.3","0.0","0.0","2.5"
"Pharaoh Brown","HOU","1.3","13.9","0.1","0.0","3.0"
"","high","1.8","20.2","0.1","0.0","3.2"
"","low","0.7","7.6","0.0","0.0","2.5"
"Maxx Williams","ARI","1.3","12.8","0.1","0.0","3.0"
"","high","2.8","26.1","0.1","0.0","3.2"
"","low","0.7","7.1","0.0","0.1","2.4"
"Gabe Nabers","LAC","1.4","15.8","0.0","0.0","3.0"
"","high","1.4","15.8","0.0","0.0","0.0"
"","low","1.4","15.8","0.0","0.0","0.0"
"Marcedes Lewis","GB","1.1","10.7","0.1","0.0","2.9"
"","high","1.6","16.0","0.3","0.0","3.9"
"","low","0.7","7.4","0.1","0.0","2.2"
"Ryan Griffin","NYJ","1.2","12.4","0.1","0.0","2.8"
"","high","1.4","15.5","0.1","0.0","3.4"
"","low","0.8","7.6","0.0","0.0","2.4"
"Lee Smith","BUF","1.3","9.6","0.1","0.0","2.8"
"","high","2.0","14.0","0.2","0.0","3.0"
"","low","0.6","5.1","0.0","0.0","3.0"
"Nick Keizer","KC","1.4","14.9","0.0","0.0","2.8"
"","high","1.4","14.9","0.0","0.0","0.0"
"","low","1.4","14.9","0.0","0.0","0.0"
"Tyler Conklin","MIN","1.1","11.1","0.1","0.0","2.7"
"","high","1.8","16.1","0.1","0.0","3.0"
"","low","0.6","6.2","0.0","0.0","2.4"
"Stephen Carlson","CLE","1.1","12.6","0.1","0.0","2.7"
"","high","1.3","14.4","0.1","0.0","3.2"
"","low","1.0","10.8","0.0","0.0","3.2"
"Josh Hill","NO","1.2","11.1","0.1","0.0","2.6"
"","high","1.3","12.3","0.1","0.0","2.8"
"","low","1.2","9.9","0.0","0.0","2.8"
"Jason Witten","LV","1.2","10.7","0.1","0.0","2.6"
"","high","2.2","19.7","0.1","0.0","2.4"
"","low","0.7","6.1","0.0","0.0","2.2"
"Adam Trautman","NO","1.0","11.3","0.1","0.0","2.5"
"","high","1.6","17.4","0.1","0.0","2.6"
"","low","0.6","7.3","0.0","0.0","2.3"
"Isaac Nauta","DET","1.2","13.0","0.0","0.0","2.4"
"","high","1.2","13.0","0.0","0.0","0.0"
"","low","1.2","13.0","0.0","0.0","0.0"
"Demetrius Harris","CHI","1.1","10.3","0.1","0.0","2.4"
"","high","1.3","12.9","0.1","0.0","2.5"
"","low","0.9","7.7","0.0","0.0","2.5"
"Donald Parham Jr.","LAC","1.0","11.4","0.1","0.0","2.4"
"","high","1.6","17.3","0.1","0.0","2.4"
"","low","0.7","8.3","0.0","0.0","2.2"
"Jace Sternberger","GB","1.0","9.9","0.1","0.0","2.4"
"","high","1.6","17.8","0.1","0.0","2.7"
"","low","0.6","6.9","0.0","0.0","1.7"
"Nick Vannett","DEN","1.1","10.4","0.0","0.0","2.4"
"","high","1.7","16.1","0.1","0.0","2.8"
"","low","0.5","4.4","0.0","0.0","1.5"
"Ricky Seals-Jones","KC","0.8","9.6","0.1","0.0","2.4"
"","high","0.8","9.6","0.1","0.0","2.4"
"","low","0.8","9.6","0.1","0.0","2.4"
"Brandon Dillon","MIN","1.1","12.5","0.0","0.0","2.4"
"","high","1.1","12.5","0.0","0.0","0.0"
"","low","1.1","12.5","0.0","0.0","0.0"
"Jordan Thomas","NE","0.9","8.6","0.1","0.0","2.3"
"","high","1.2","11.9","0.2","0.0","2.6"
"","low","0.6","5.2","0.0","0.0","2.6"
"Jaeden Graham","ATL","1.0","11.6","0.0","0.0","2.3"
"","high","1.3","14.2","0.1","0.0","2.6"
"","low","0.7","9.7","0.0","0.0","2.0"
"Eric Tomlinson","BAL","0.9","9.5","0.1","0.0","2.3"
"","high","1.4","15.0","0.1","0.0","3.3"
"","low","0.5","4.1","0.0","0.0","1.3"
"Ben Ellefson","JAC","1.0","11.3","0.0","0.0","2.3"
"","high","1.3","14.8","0.0","0.0","2.0"
"","low","0.7","7.9","0.0","0.0","2.0"
"Colby Parkinson","SEA","0.8","8.6","0.1","0.0","2.3"
"","high","0.8","8.6","0.1","0.0","2.3"
"","low","0.8","8.6","0.1","0.0","2.3"
"Troy Fumagalli","DEN","1.0","10.8","0.0","0.0","2.2"
"","high","1.3","13.9","0.1","0.0","2.1"
"","low","0.7","7.7","0.0","0.0","2.1"
"Farrod Green","IND","0.8","7.9","0.1","0.0","2.2"
"","high","0.8","7.9","0.1","0.0","2.2"
"","low","0.8","7.9","0.1","0.0","2.2"
"Noah Togiai","IND","0.8","7.9","0.1","0.0","2.2"
"","high","0.8","7.9","0.1","0.0","2.2"
"","low","0.8","7.9","0.1","0.0","2.2"
"Cethan Carter","CIN","1.1","11.6","0.0","0.0","2.2"
"","high","1.1","11.6","0.0","0.0","0.0"
"","low","1.1","11.6","0.0","0.0","0.0"
"Derek Carrier","LV","1.0","8.8","0.1","0.0","2.2"
"","high","1.3","11.3","0.1","0.0","2.2"
"","low","0.7","6.3","0.0","0.0","2.2"
"Brycen Hopkins","LAR","0.8","7.7","0.1","0.0","2.2"
"","high","0.8","7.7","0.1","0.0","2.2"
"","low","0.8","7.7","0.1","0.0","2.2"
"Blake Bell","DAL","1.1","10.7","0.0","0.0","2.1"
"","high","1.3","13.9","0.0","0.0","1.8"
"","low","0.8","7.4","0.0","0.0","1.8"
"Jason Croom","PHI","0.7","6.9","0.1","0.0","2.0"
"","high","0.7","6.9","0.1","0.0","2.0"
"","low","0.7","6.9","0.1","0.0","2.0"
"Caleb Wilson","PHI","0.7","6.8","0.1","0.0","2.0"
"","high","0.7","6.8","0.1","0.0","2.0"
"","low","0.7","6.8","0.1","0.0","2.0"
"Luke Stocker","ATL","1.0","8.9","0.0","0.0","1.9"
"","high","1.5","12.3","0.0","0.0","1.6"
"","low","0.6","5.4","0.0","0.0","1.6"
"Levine Toilolo","NYG","0.9","10.3","0.0","0.0","1.9"
"","high","1.0","13.7","0.0","0.0","1.6"
"","low","0.7","6.9","0.0","0.0","1.6"
"Stephen Anderson","LAC","0.9","10.4","0.0","0.0","1.9"
"","high","0.9","10.4","0.0","0.0","0.0"
"","low","0.9","10.4","0.0","0.0","0.0"
"Charlie Woerner","SF","0.8","8.3","0.1","0.0","1.9"
"","high","0.9","10.3","0.1","0.0","2.0"
"","low","0.6","6.3","0.0","0.0","2.0"
"Evan Baylis","ARI","0.7","5.9","0.1","0.0","1.9"
"","high","0.7","5.9","0.1","0.0","1.9"
"","low","0.7","5.9","0.1","0.0","1.9"
"Daniel Helm","SF","0.6","6.3","0.1","0.0","1.8"
"","high","0.6","6.3","0.1","0.0","1.8"
"","low","0.6","6.3","0.1","0.0","1.8"
"Jeremy Sprinkle","WAS","0.9","8.4","0.0","0.0","1.8"
"","high","1.3","11.3","0.0","0.0","1.5"
"","low","0.6","5.5","0.0","0.0","1.5"
"Devin Asiasi","NE","0.6","5.7","0.1","0.0","1.8"
"","high","0.6","5.7","0.1","0.0","1.8"
"","low","0.6","5.7","0.1","0.0","1.8"
"Temarrick Hemingway","WAS","0.9","9.1","0.0","0.0","1.8"
"","high","1.1","12.4","0.0","0.0","1.4"
"","low","0.6","5.8","0.0","0.0","1.4"
"Eric Saubert","JAC","0.9","8.7","0.0","0.0","1.7"
"","high","1.1","12.5","0.0","0.0","1.4"
"","low","0.6","5.0","0.0","0.0","1.4"
"Sean Culkin","BAL","0.5","6.2","0.1","0.0","1.7"
"","high","0.5","6.2","0.1","0.0","1.7"
"","low","0.5","6.2","0.1","0.0","1.7"
"Deon Yelder","KC","0.8","8.6","0.0","0.0","1.7"
"","high","1.3","14.6","0.0","0.0","1.1"
"","low","0.3","2.6","0.0","0.0","1.1"
"Daniel Brown","NYJ","0.8","6.9","0.0","0.0","1.5"
"","high","0.8","6.9","0.0","0.0","0.0"
"","low","0.8","6.9","0.0","0.0","0.0"
"Andrew Beck","DEN","0.4","4.2","0.1","0.0","1.4"
"","high","0.4","4.2","0.1","0.0","1.4"
"","low","0.4","4.2","0.1","0.0","1.4"
"Mason Schreck","CIN","0.7","7.5","0.0","0.0","1.4"
"","high","0.7","7.5","0.0","0.0","0.0"
"","low","0.7","7.5","0.0","0.0","0.0"
"J.P. Holtz","CHI","0.6","7.7","0.0","0.0","1.4"
"","high","0.9","9.8","0.0","0.0","1.2"
"","low","0.4","5.6","0.0","0.0","1.2"
"Johnny Mundt","LAR","0.6","6.7","0.0","0.0","1.3"
"","high","0.6","6.7","0.0","0.0","0.0"
"","low","0.6","6.7","0.0","0.0","0.0"
"Jakob Johnson","NE","0.4","1.8","0.1","0.0","1.2"
"","high","0.4","1.8","0.1","0.0","1.2"
"","low","0.4","1.8","0.1","0.0","1.2"
"Jake Butt","DEN","0.6","5.7","0.0","0.0","1.2"
"","high","0.6","5.7","0.0","0.0","1.2"
"","low","0.6","5.7","0.0","0.0","1.2"
"Sean McKeon","DAL","0.5","5.9","0.0","0.0","1.1"
"","high","0.5","5.9","0.0","0.0","0.0"
"","low","0.5","5.9","0.0","0.0","0.0"
"Trevon Wesco","NYJ","0.4","4.4","0.0","0.0","0.8"
"","high","0.4","4.4","0.0","0.0","0.8"
"","low","0.4","4.4","0.0","0.0","0.8"
""
""
